,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
202,HCD0403224_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.103003521,FALSE,0.033542977,FALSE
203,HCD0403224_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.062498807,FALSE,0.002096436,FALSE
204,HCD0786771_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.13859074,FALSE,0.163522013,FALSE
205,HCD0786771_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.120532985,FALSE,0.073375262,FALSE
206,HCD0786771_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.181002308,FALSE,0.402515723,TRUE
207,HCD0786771_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.149087608,FALSE,0.150943396,FALSE
208,HCD1013014_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.048493627,FALSE,0,FALSE
209,HCD1013014_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.020910846,FALSE,0,FALSE
210,HCD1013014_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.047833243,FALSE,0,FALSE
211,HCD1013014_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.026322156,FALSE,0,FALSE
212,HCD1886881_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.139181145,FALSE,0.157232704,FALSE
213,HCD1886881_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.106645053,FALSE,0.054507338,FALSE
214,HCD1886881_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.130452958,FALSE,0.104821803,FALSE
215,HCD1886881_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.101897492,FALSE,0.029350105,FALSE
216,HCD0129937_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.180664329,FALSE,0.29769392,TRUE
217,HCD0129937_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.11986207,FALSE,0.106918239,FALSE
218,HCD0129937_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.263748199,TRUE,0.467505241,TRUE
219,HCD0129937_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.361315484,TRUE,0.49475891,TRUE
220,HCD1856468_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.110782019,FALSE,0.023060797,FALSE
221,HCD1856468_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.088165382,FALSE,0.002096436,FALSE
222,HCD1856468_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.072344906,FALSE,0.002096436,FALSE
223,HCD1856468_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.058816698,FALSE,0.002096436,FALSE
224,HCD0267747_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.148030213,FALSE,0.192872117,FALSE
225,HCD0267747_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.089137273,FALSE,0.025157233,FALSE
226,HCD0267747_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.222554799,TRUE,0.570230608,TRUE
227,HCD0267747_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.124034095,FALSE,0.117400419,FALSE
228,HCD2302430_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.203243658,TRUE,0.329140461,TRUE
229,HCD2302430_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.159180118,FALSE,0.119496855,FALSE
230,HCD2302430_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.114380801,FALSE,0.077568134,FALSE
231,HCD2302430_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.093788878,FALSE,0.006289308,FALSE
